Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.7,-67.7,180,top
C2,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,113.05,-80.05,180,top
C3,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.45,-63.55,-90,top
C4,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.05,-66.45,90,top
C5,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.7,-84.2,0,top
C6,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.1,-84.85,-90,top
C7,15p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.5,-48.35,-90,top
C8,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.15,-33.55,90,top
C9,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.55,-41.55,180,top
C10,15p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.2,-48.35,-90,top
C13,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120,-152.5,180,top
C14,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134,-133.3,180,top
C15,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.2,-114.55,180,top
C16,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,102.5,-133,180,top
C17,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.25,-133.35,180,top
C18,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.45,-43.8,0,top
C19,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129,-53.8,0,top
D1,ESD9B5.0ST5G,D_SOD-923,133.3,-55.1,90,top
D2,ESD9B5.0ST5G,D_SOD-923,133.3,-57.5,-90,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,117.75,-76.55,-90,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,120.3,-76.55,-90,top
D5,40V,D_SOD-123F,133,-63.85,90,top
D6,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,125.55,-70.9,0,top
D7,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.45,-76.55,-90,top
D8,ESD9B5.0ST5G,D_SOD-923,133.3,-51.35,90,top
FB1,120 ohms,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132,-67.5,0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,140.16,-56.3,90,top
J2,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,107.95,-75.9,90,top
Q1,BC818,SOT-23,117.3,-54.95,90,top
Q2,BC818,SOT-23,112.25,-54.95,90,top
R1,4.12k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.55,-65.15,180,top
R2,1.18k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.4,-70.8,0,top
R3,1.13k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.55,-67.75,180,top
R4,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.5,-49.7,180,top
R5,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.2,-63,180,top
R6,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.75,-80.75,90,top
R7,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.3,-80.75,90,top
R8,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.95,-70.9,180,top
R9,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.45,-80.75,90,top
R10,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,91.45,-39.4,90,top
R11,Optional,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.8,-42.5,0,top
R12,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.5,-29.3,90,top
R13,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,94.15,-39.4,90,top
R15,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.9,-144.5,180,top
R16,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134,-126.7,180,top
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.05,-105.95,180,top
R18,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.5,-127,180,top
R19,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.2,-126.5,180,top
R20,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.9,-148.7,90,top
R21,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.1,-130.1,90,top
R22,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.2,-110.2,90,top
R23,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,101.5,-130,90,top
R24,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.3,-129.9,90,top
R25,22.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.55,-46.25,180,top
R26,47.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.45,-46.25,180,top
R27,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.9,-49.5,90,top
R28,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121,-49.9,0,top
R29,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.7,-31.7,0,top
R30,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.7,-33.9,0,top
R31,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.35,-59.25,90,top
R32,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.25,-59.2,90,top
R33,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.3,-50.8,90,top
R34,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.25,-50.85,90,top
SW1,SW_Push,Switch_Small,92.7,-29.35,0,top
SW2,SW_Push,Switch_Small,122.4,-38.3,0,top
U1,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,114.5,-72.4,0,top
U2,LD1117S33TR_SOT223,SOT-223-3_TabPin2,111,-86.55,180,top
U3,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1U,107.65,-36.15,0,top
U4,CP2102N-Axx-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,123.65,-56.1,180,top
Y1,32.768 kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,92.8,-44.9,0,top
